Id,Description,Claimant,Price,Office,Category
1,"Eldon Base for stackable storage shelf, platinum",Muhammed MacIntyre,38.94,Nunavut,Storage & Organization
2,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Barry French,208.16,Nunavut,Appliances
3,"Cardinal Slant-D® Ring Binder, Heavy Gauge Vinyl",Barry French,8.69,Nunavut,Binders and Binder Accessories
4,R380,Clay Rozendal,195.99,Nunavut,Telephones and Communication
5,Holmes HEPA Air Purifier,Carlos Soltero,21.78,Nunavut,Appliances
6,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Carlos Soltero,6.64,Nunavut,Office Furnishings
7,"Angle-D Binders with Locking Rings, Label Holders",Carl Jackson,7.3,Nunavut,Binders and Binder Accessories
8,"SAFCO Mobile Desk Side File, Wire Frame",Carl Jackson,42.76,Nunavut,Storage & Organization
9,"SAFCO Commercial Wire Shelving, Black",Monica Federle,138.14,Nunavut,Storage & Organization
10,Xerox 198,Dorothy Badders,4.98,Nunavut,Paper
11,Xerox 1980,Neola Schneider,4.28,Nunavut,Paper
12,Advantus Map Pennant Flags and Round Head Tacks,Neola Schneider,3.95,Nunavut,Rubber Bands
13,Holmes HEPA Air Purifier,Carlos Daly,21.78,Nunavut,Appliances
14,"DS/HD IBM Formatted Diskettes, 200/Pack - Staples",Carlos Daly,47.98,Nunavut,Computer Peripherals
15,"Wilson Jones 1"" Hanging DublLock® Ring Binders",Claudia Miner,5.28,Nunavut,Binders and Binder Accessories
16,Ultra Commercial Grade Dual Valve Door Closer,Neola Schneider,39.89,Nunavut,Office Furnishings
17,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Allen Rosenblatt,15.74,Nunavut,Envelopes
18,Hon 4-Shelf Metal Bookcases,Sylvia Foulston,100.98,Nunavut,Bookcases
19,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Sylvia Foulston,71.37,Nunavut,Tables
20,g520,Jim Radford,65.99,Nunavut,Telephones and Communication
21,LX 788,Jim Radford,155.99,Nunavut,Telephones and Communication
22,Avery 52,Carlos Soltero,3.69,Nunavut,Labels
23,Plymouth Boxed Rubber Bands by Plymouth,Carlos Soltero,4.71,Nunavut,Rubber Bands
24,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Carl Ludwig,15.99,Nunavut,Binders and Binder Accessories
25,"Maxell 3.5"" DS/HD IBM-Formatted Diskettes, 10/Pack",Carl Ludwig,4.89,Nunavut,Computer Peripherals
26,Newell 335,Don Miller,2.88,Nunavut,Pens & Art Supplies
27,SANFORD Liquid Accent™ Tank-Style Highlighters,Annie Cyprus,2.84,Nunavut,Pens & Art Supplies
28,Canon PC940 Copier,Carl Ludwig,449.99,Nunavut,Copiers and Fax
29,"Tenex Personal Project File with Scoop Front Design, Black",Carlos Soltero,13.48,Nunavut,Storage & Organization
30,Col-Erase® Pencils with Erasers,Grant Carroll,6.08,Nunavut,Pens & Art Supplies
31,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 10/Pack",Don Miller,5.98,Nunavut,Computer Peripherals
32,"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Don Miller,40.99,Nunavut,Paper
33,Self-Adhesive Address Labels for Typewriters by Universal,Alan Barnes,7.31,Nunavut,Labels
34,Accessory37,Alan Barnes,20.99,Nunavut,Telephones and Communication
35,Fuji 5.2GB DVD-RAM,Jack Garza,40.96,Nunavut,Computer Peripherals
36,Bevis Steel Folding Chairs,Julia West,95.95,Nunavut,Chairs & Chairmats
37,Avery Binder Labels,Eugene Barchas,3.89,Nunavut,Binders and Binder Accessories
38,Hon Every-Day® Chair Series Swivel Task Chairs,Eugene Barchas,120.98,Nunavut,Chairs & Chairmats
39,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Eugene Barchas,30.98,Nunavut,Paper
40,Global Troy™ Executive Leather Low-Back Tilter,Edward Hooks,500.98,Nunavut,Chairs & Chairmats
41,XtraLife® ClearVue™ Slant-D® Ring Binders by Cardinal,Brad Eason,7.84,Nunavut,Binders and Binder Accessories
42,Computer Printout Paper with Letter-Trim Perforations,Nicole Hansen,18.97,Nunavut,Paper
43,6160,Dorothy Wardle,115.99,Nunavut,Telephones and Communication
